"bin","xbin","pname","y","lo","md","hi"
"0",0.2628121,"prob0",0.564981949458484,0.563176895306859,0.595667870036101,0.625496389891697
"0",0.2628121,"prob1",0.294223826714801,0.266110108303249,0.296028880866426,0.331272563176895
"0",0.2628121,"prob2",0.140794223826715,0.0848375451263538,0.104693140794224,0.137274368231047
"3",3,"prob0",0.557507987220447,0.508746006389776,0.549520766773163,0.584744408945687
"3",3,"prob1",0.330670926517572,0.286701277955272,0.324281150159744,0.362619808306709
"3",3,"prob2",0.111821086261981,0.102995207667732,0.124600638977636,0.15814696485623
"6",6,"prob0",0.543171114599686,0.460714285714286,0.496860282574568,0.526726844583987
"6",6,"prob1",0.318681318681319,0.318681318681319,0.34850863422292,0.379395604395604
"6",6,"prob2",0.138147566718995,0.132613814756672,0.153846153846154,0.181357927786499
"9",9,"prob0",0.471406491499227,0.400309119010819,0.434312210200927,0.462944358578052
"9",9,"prob1",0.352395672333849,0.343044822256569,0.371715610510046,0.402666151468315
"9",9,"prob2",0.176197836166924,0.16758114374034,0.190880989180835,0.213292117465224
"12",12,"prob0",0.37567084078712,0.353264758497317,0.388193202146691,0.424910554561717
"12",12,"prob1",0.398926654740608,0.340742397137746,0.382826475849732,0.417754919499106
"12",12,"prob2",0.225402504472272,0.200357781753131,0.227191413237925,0.25505366726297
"15",15,"prob0",0.309633027522936,0.271616972477064,0.321100917431193,0.357798165137615
"15",15,"prob1",0.403669724770642,0.357683486238532,0.400229357798165,0.458830275229358
"15",15,"prob2",0.286697247706422,0.239506880733945,0.283256880733945,0.326892201834862
"18",18,"prob0",0.245045045045045,0.248648648648649,0.279279279279279,0.318063063063063
"18",18,"prob1",0.401801801801802,0.354864864864865,0.392792792792793,0.427972972972973
"18",18,"prob2",0.353153153153153,0.297297297297297,0.326126126126126,0.359504504504504
